NavStatus,Description
0,Under way using its engine
1,Anchored
2,Not under command
3,Has restricted maneuverability
4,Ship draught is limiting its movement
5,Moored (tied to another object to limit free movement)
6,Aground
7,Engaged in fishing
8,Under way sailing
9,Number reserved for modifying reported status of ships carrying dangerous goods/harmful substances/marine pollutants
10,Number reserved for modifying reported status of ships carrying dangerous goods/harmful substances/marine pollutants
11,Power-driven vessel towing astern
12,Power-driven vessel pushing ahead/towing alongside
13,Reserved for future use
14,Any of the following are active: AIS-SART (Search and Rescue Transmitter) AIS-MOB (Man Overboard) AIS-EPIRB (Emergency Position Indicating Radio Beacon)
15,Undefined (default)
16,Undefined (default)
17,Undefined (default)
18,Undefined (default)
19,Undefined (default)
20,Undefined (default)
21,Undefined (default)
22,Undefined (default)
23,Undefined (default)
24,Undefined (default)
25,Undefined (default)
26,Undefined (default)
27,Undefined (default)
28,Undefined (default)
29,Undefined (default)
30,Undefined (default)
31,Undefined (default)
32,Undefined (default)
33,Undefined (default)
34,Undefined (default)
35,Undefined (default)
36,Undefined (default)
37,Undefined (default)
38,Undefined (default)
39,Undefined (default)
40,Undefined (default)
41,Undefined (default)
42,Undefined (default)
43,Undefined (default)
44,Undefined (default)
45,Undefined (default)
46,Undefined (default)
47,Undefined (default)
48,Undefined (default)
49,Undefined (default)
50,Undefined (default)
51,Undefined (default)
52,Undefined (default)
53,Undefined (default)
54,Undefined (default)
55,Undefined (default)
56,Undefined (default)
57,Undefined (default)
58,Undefined (default)
59,Undefined (default)
60,Undefined (default)
61,Undefined (default)
62,Undefined (default)
63,Undefined (default)
64,Undefined (default)
65,Undefined (default)
66,Undefined (default)
67,Undefined (default)
68,Undefined (default)
69,Undefined (default)
70,Undefined (default)
71,Undefined (default)
72,Undefined (default)
73,Undefined (default)
74,Undefined (default)
75,Undefined (default)
76,Undefined (default)
77,Undefined (default)
78,Undefined (default)
79,Undefined (default)
80,Undefined (default)
81,Undefined (default)
82,Undefined (default)
83,Undefined (default)
84,Undefined (default)
85,Undefined (default)
86,Undefined (default)
87,Undefined (default)
88,Undefined (default)
89,Undefined (default)
90,Undefined (default)
91,Undefined (default)
92,Undefined (default)
93,Undefined (default)
94,Undefined (default)
95,Undefined (default)
96,Undefined (default)
97,Undefined (default)
98,Undefined (default)
99,Undefined (default)
100,Undefined (default)
